12	5145470	5146370	2	2	0	0	1	22
15	13572877	13584619	2	2	0	0	1	13
15	29108148	29108871	2	2	0	1	0	15
17	52788369	52799629	2	2	0	0	1	23
18	28838707	29021647	2	2	0	3	0	17
20	50351552	50361071	2	2	0	0	1	23
22	2798375	2822139	1	1	0	0	1	22
23	3332439	3367169	2	2	0	0	1	12
3	4472945	4509558	2	2	0	0	1	16
4	55758125	55758223	1	3	1	0	1	7
4	55761748	55783073	1	1	0	0	2	23
4	55761748	55799269	1	1	0	0	2	23
4	55761748	55827401	1	1	0	0	2	23
4	55761855	55783178	2	2	0	0	1	21
4	55761855	55799374	2	2	0	0	1	21
4	55778169	55793572	1	1	0	0	1	23
4	55778169	55809132	1	1	0	0	1	23
4	55778611	55794709	1	1	0	0	1	12
4	55778611	55810269	1	1	0	0	1	12
4	55783073	55799269	1	1	0	0	2	23
4	55783073	55827401	1	1	0	0	2	23
4	55783180	55799374	2	2	0	0	1	21
4	55783180	55827506	2	2	0	0	1	21
4	55794366	55809132	1	1	0	0	1	23
4	55794808	55810269	1	1	0	0	1	12
4	55799269	55827401	1	1	0	0	2	23
4	55799376	55827506	2	2	0	0	1	21
4	68569443	68569505	2	4	1	2	4	3
4	77550340	77551511	2	2	0	0	4	18
4	77550340	77563062	2	2	0	0	4	18
4	77557518	77563080	2	2	0	1	0	12
4	77561891	77563062	2	2	0	0	4	18
5	821078	832723	1	1	0	0	1	21
5	821183	832830	2	2	0	0	2	23
5	821230	832660	2	4	0	0	1	16
5	821267	832914	2	2	0	0	9	22
5	825075	836725	1	1	0	1	0	21
5	825104	836749	1	3	0	0	1	19
5	825111	836758	2	2	0	0	4	16
5	825604	826728	2	2	0	0	4	18
5	53178661	53312750	1	1	0	161	0	12
6	36733722	36744146	2	2	0	0	1	23
7	3154	4278	1	1	0	0	4	18
7	8929	305191	2	2	0	0	5	14
7	32742323	32744498	2	2	0	0	1	12
8	12961462	12962115	1	1	0	1	0	16
MT	2234	2285	1	3	0	1	0	23
MT	2341	9562	2	2	0	0	1	12
KN150411.1	5638	14941	1	1	0	0	1	21
KN150411.1	5743	15048	2	2	0	0	2	23
KN150411.1	11246	12369	2	2	0	0	4	18
KN150411.1	11618	17845	2	4	0	1	0	12
KN150411.1	11938	18169	1	1	0	1	0	14
KN149861.1	8313	9465	2	2	0	0	4	18
