4	55783046	55799245	1	1	0	0	1	22
4	55783046	55827377	1	1	0	0	1	22
4	55799242	55827377	1	1	0	0	1	22
4	68569443	68569505	2	4	1	0	5	3
4	77550340	77551511	2	2	0	0	2	12
4	77550340	77563062	2	2	0	0	2	12
4	77561891	77563062	2	2	0	0	2	12
5	821207	832857	2	2	0	0	1	22
5	821267	832914	2	2	0	0	4	21
5	825111	836758	2	2	0	0	1	14
5	825604	826728	2	2	0	0	2	12
7	3154	4278	1	1	0	0	2	12
9	35701668	35732687	2	2	0	0	1	18
MT	1616	13561	2	2	0	0	1	14
MT	2614	2674	2	6	0	1	0	14
KN150411.1	11246	12369	2	2	0	0	2	12
KN149861.1	8313	9465	2	2	0	0	2	12
