Geneid	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL53_D_S42Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL53_V_S52Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL59_D_S19Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL50_V_S38Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL56_V_S7Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL69_D_S11Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL63_D_S15Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL50_D_S13Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL67_D_S22Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL67_V_S74Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL65_V_S69Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL59_V_S72Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL65_D_S48Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL56_D_S25Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL69_V_S39Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL63_V_S8Aligned.sortedByCoord.out.bam
ENSG00000223972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227232	7	1	2	1	3	12	3	1	5	2	2	6	6	5	3	8
ENSG00000278267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000268903	1	0	1	0	0	2	1	0	1	2	0	0	2	0	1	1
ENSG00000269981	1	1	0	0	0	0	0	0	1	1	0	2	0	0	0	1
ENSG00000239906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241860	1	4	0	1	2	3	1	1	3	5	1	4	4	0	0	1
ENSG00000222623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000279457	24	22	8	21	14	22	14	12	25	38	8	24	25	9	16	26
ENSG00000273874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228463	3	10	3	8	9	4	2	5	6	6	3	13	8	2	4	3
ENSG00000286448	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094	1	6	1	0	5	4	2	0	1	6	5	6	5	2	4	6
ENSG00000269732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230021	1	0	0	1	1	0	1	1	2	0	0	3	0	1	0	0
ENSG00000235146	0	0	0	0	0	0	1	0	3	0	2	1	0	0	0	0
ENSG00000225972	0	1	0	0	0	0	1	0	0	0	1	3	0	0	0	1
ENSG00000225630	58	70	159	40	78	107	71	32	121	210	97	124	175	79	79	132
ENSG00000237973	68	83	43	75	58	88	55	60	38	117	101	134	105	73	58	69
ENSG00000278791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229344	0	2	1	1	0	0	2	0	0	1	1	2	5	0	1	1
ENSG00000240409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248527	491	582	548	441	668	880	779	329	1231	2112	1164	939	1723	417	1085	1377
ENSG00000198744	2	2	2	6	1	4	3	3	5	3	1	3	3	0	2	7
ENSG00000268663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228327	20	16	10	7	10	4	7	9	11	19	9	30	16	13	6	19
ENSG00000223181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237491	10	13	10	9	15	15	21	17	15	21	24	19	24	9	8	24
ENSG00000285268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230092	4	7	3	1	5	7	3	7	4	5	3	3	6	6	3	7
ENSG00000177757	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1
ENSG00000228794	251	279	182	184	259	82	66	192	65	111	90	388	138	194	71	95
ENSG00000225880	10	14	12	10	8	14	8	9	9	17	10	10	14	7	10	17
ENSG00000288531	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0
ENSG00000230368	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000234711	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000283040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272438	0	1	0	0	1	0	0	1	0	0	0	2	0	0	0	1
ENSG00000230699	22	31	15	14	13	7	1	31	0	7	3	39	5	9	2	8
ENSG00000241180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223764	371	355	225	296	316	128	127	307	93	294	177	434	242	296	93	179
ENSG00000187634	823	832	578	635	607	72	75	695	65	155	107	971	188	670	65	105
ENSG00000188976	2251	2433	1402	1655	1948	635	500	1677	489	830	564	2681	1070	1764	490	644
ENSG00000187961	208	199	97	110	136	57	45	137	26	73	46	216	51	153	29	59
ENSG00000187583	90	92	63	64	66	14	13	75	6	24	11	145	11	61	5	15
ENSG00000187642	10	12	3	10	1	5	11	13	10	24	20	12	23	7	6	15
ENSG00000272512	11	15	5	5	6	2	3	4	3	13	8	8	9	5	8	5
ENSG00000188290	362	367	282	224	205	95	145	249	68	245	202	577	324	281	79	143
ENSG00000187608	39	49	34	28	43	33	19	34	4	26	14	57	23	40	16	21
ENSG00000231702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188157	1265	1330	758	981	924	1046	1305	995	827	2350	1739	1674	2677	953	1051	1507
ENSG00000242590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000217801	38	32	42	30	28	13	8	26	7	12	15	52	14	43	14	12
ENSG00000273443	1	2	1	1	2	0	0	0	0	0	0	5	0	0	0	0
ENSG00000237330	75	76	56	49	78	35	43	62	39	70	45	90	99	41	38	43
ENSG00000131591	122	120	87	84	96	72	71	86	39	91	67	179	147	94	34	82
ENSG00000285812	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ENSG00000223823	0	0	1	1	1	0	0	0	0	0	0	1	0	2	0	0
ENSG00000207730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272141	51	35	14	27	28	10	17	28	8	33	13	33	35	28	15	17
ENSG00000205231	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000162571	1	2	1	0	2	0	0	0	4	1	0	2	0	0	0	2
ENSG00000186891	25	22	19	17	8	3	7	18	0	3	3	33	7	19	2	1
ENSG00000186827	2	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000078808	1003	1008	603	754	815	695	604	858	555	1077	648	1277	1243	810	492	784
ENSG00000176022	340	338	204	238	255	144	165	268	118	262	184	455	364	305	116	187
ENSG00000184163	4	5	1	2	3	0	1	1	0	1	4	1	5	3	3	1
ENSG00000260179	1	2	1	2	2	0	1	3	0	3	0	1	2	1	2	1
ENSG00000160087	387	369	302	266	328	271	217	325	158	344	247	443	422	264	178	280
ENSG00000230415	0	1	2	0	1	1	4	3	3	9	3	6	6	6	3	1
ENSG00000162572	34	24	6	15	20	28	19	26	12	55	35	34	53	15	15	22
ENSG00000131584	630	529	327	352	366	175	219	371	137	366	274	625	431	417	155	248
ENSG00000278073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169972	191	224	138	143	169	99	87	192	68	132	91	285	169	171	71	127
ENSG00000127054	561	535	371	424	448	388	299	493	272	498	387	633	640	435	255	445
ENSG00000283712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240731	0	3	1	2	1	3	2	3	1	3	1	3	3	2	1	2
ENSG00000224051	291	355	192	257	234	142	162	243	102	222	205	399	305	223	113	172
ENSG00000169962	25	19	13	20	17	8	1	18	0	4	3	22	1	13	1	2
ENSG00000107404	646	643	416	467	457	230	237	484	165	374	261	674	457	493	182	303
ENSG00000284372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162576	82	83	49	56	52	203	295	62	242	470	434	98	704	57	206	409
ENSG00000175756	692	672	511	509	505	433	379	591	272	525	363	818	669	606	251	421
ENSG00000223663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000221978	1223	1330	787	1041	1141	1013	938	1119	833	1600	1085	1721	1798	1029	790	1134
ENSG00000224870	251	227	121	154	214	226	202	207	155	306	222	236	386	206	133	290
ENSG00000242485	743	830	541	620	756	413	407	812	359	546	401	977	713	703	354	550
ENSG00000264293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272455	40	46	26	24	36	33	18	27	12	30	15	54	30	27	14	16
ENSG00000235098	29	27	18	21	27	6	0	26	5	1	5	28	8	27	3	3
ENSG00000225905	1	3	1	3	1	0	0	1	0	2	1	2	0	0	0	0
ENSG00000205116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225285	0	1	0	2	0	11	9	0	10	22	15	2	25	1	6	12
ENSG00000179403	488	525	299	369	349	499	611	392	428	1061	716	597	1143	398	457	724
ENSG00000215915	16	16	8	14	15	4	2	12	4	12	8	27	11	10	4	9
ENSG00000160072	345	356	206	232	251	138	155	236	96	212	171	394	267	277	89	163
ENSG00000284740	0	1	0	0	3	2	1	0	0	0	0	1	0	1	1	1
ENSG00000197785	250	268	169	185	175	132	98	184	82	157	131	319	231	225	98	143
ENSG00000205090	4	2	2	2	3	1	5	3	1	3	2	4	1	0	1	1
ENSG00000160075	1090	1167	638	861	967	901	615	891	561	999	809	1523	1194	872	553	853
ENSG00000215014	3	9	6	4	4	4	7	9	8	7	12	8	11	4	6	9
